Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1627.78749301,OUT049
FDW14,1617.41970458,OUT017
NCN55,543.412334889,OUT010
FDQ58,2035.65125464,OUT017
FDY38,5874.42354236,OUT027
FDH56,1659.87386694,OUT046
FDL48,785.757415843,OUT018
FDC48,2754.63773744,OUT027
FDN33,1617.41970458,OUT045
FDA36,2040.82550971,OUT017
FDT44,1672.89748438,OUT017
FDQ56,1617.41970458,OUT045
NCC54,543.412334889,OUT019
FDU11,1814.65294199,OUT049
DRL59,915.002015765,OUT013
FDM24,2641.6759691,OUT049
FDI57,3593.16638275,OUT045
DRC12,2674.7267045,OUT018
NCM42,2754.63773744,OUT027
FDA46,543.412334889,OUT010
FDA31,2681.20536461,OUT013
NCJ31,4042.9028958,OUT035
FDG52,822.31386105,OUT046
NCL19,342.016758188,OUT019
FDS10,2701.581466,OUT035
FDX22,543.412334889,OUT010
NCF19,773.759851385,OUT035
NCE06,1300.18418672,OUT046
DRC27,2756.39389403,OUT046
FDE21,2235.69481784,OUT035
NCR42,123.533414111,OUT019
FDX51,2685.46629526,OUT018
NCR06,624.147385412,OUT018
FDU31,5874.42354236,OUT027
FDU59,3265.19330036,OUT017
FDR03,5874.42354236,OUT027
FDS49,2754.63773744,OUT027
FDD48,282.426812467,OUT010
NCF18,3597.91336872,OUT017
NCD43,1373.6880849,OUT027
NCD54,2375.12586409,OUT018
FDY19,317.661149983,OUT010
NCY54,3399.22621195,OUT017
NCL19,2566.09522175,OUT018
FDP23,543.412334889,OUT010
FDC26,1347.85092981,OUT013
FDR14,123.533414111,OUT010
NCS41,2040.82550971,OUT035
FDF41,4058.72606901,OUT035
FDU34,2297.60316806,OUT046
DRH11,970.047021649,OUT046
FDM03,1627.78749301,OUT013
FDS31,2704.7357656,OUT017
FDJ20,1814.65294199,OUT017
FDV44,4093.26079982,OUT027
FDG02,2040.82550971,OUT049
FDA09,3394.42227662,OUT013
FDT04,763.424136487,OUT013
FDL58,543.412334889,OUT019
FDE52,3226.15246127,OUT045
FDW12,2028.79477532,OUT035
FDL51,2744.72491874,OUT017
NCY42,4089.72385818,OUT027
FDR07,1260.54279798,OUT017
FDN40,2641.71640127,OUT045
FDB35,2754.63773744,OUT027
FDA22,3236.06613982,OUT017
NCL06,2754.19531638,OUT046
FDI35,3420.04409713,OUT013
NCW42,2748.00829349,OUT045
NCX06,2701.54370835,OUT049
FDC37,2754.63773744,OUT027
FDZ14,2258.31198571,OUT018
DRG49,4056.26880763,OUT049
NCG06,4208.74726015,OUT045
DRC36,3356.9371772,OUT045
FDV21,292.768934353,OUT019
FDB53,3226.00277628,OUT046
DRP47,543.412334889,OUT019
FDA14,1348.16768588,OUT013
DRC24,3237.70442767,OUT035
FDW21,1617.41970458,OUT018
NCH29,1617.41970458,OUT046
FDU58,2721.30232665,OUT013
FDY27,2685.1021294,OUT017
FDV56,1197.57251814,OUT035
FDT59,4062.58765953,OUT046
FDB23,4026.23441334,OUT046
FDR49,769.167848104,OUT045
FDB03,543.412334889,OUT010
FDN39,2664.18223697,OUT045
FDX02,5874.42354236,OUT027
FDQ16,4089.72385818,OUT027
FDU35,1617.41970458,OUT018
NCT29,1814.65294199,OUT013
FDZ27,822.666671367,OUT046
FDN57,2344.00624209,OUT017
FDA03,2562.02402901,OUT018
FDZ36,3546.80030993,OUT045
NCU05,1330.2197161,OUT013
FDT39,2594.97883437,OUT018
FDK60,1617.41970458,OUT017
FDZ25,2671.58091515,OUT017
FDG12,2281.6357207,OUT046
DRB01,446.052852153,OUT019
NCC43,4097.0851546,OUT027
FDX13,543.412334889,OUT019
FDM22,885.304502768,OUT049
FDJ03,906.325975013,OUT027
FDU14,3970.83563167,OUT018
FDB33,400.977477815,OUT010
FDP27,2732.21497413,OUT046
FDO38,201.384340946,OUT010
FDE28,4097.0851546,OUT027
FDO27,1617.41970458,OUT035
DRL23,2754.63773744,OUT027
FDS28,962.365649775,OUT046
FDX24,1617.41970458,OUT013
FDZ02,1189.73570332,OUT035
FDL46,1199.32055384,OUT045
FDS60,4093.26079982,OUT027
NCO06,608.595703095,OUT017
FDO16,1617.41970458,OUT035
FDC60,1275.65861326,OUT049
FDA48,3703.30244033,OUT018
FDZ36,5870.59918758,OUT027
FDK27,1794.62135555,OUT045
FDW23,617.713186967,OUT018
FDM14,2220.4197922,OUT018
FDM14,2240.47097653,OUT013
FDW60,3324.91645219,OUT018
FDE21,2246.21056877,OUT013
NCM42,1627.78749301,OUT035
FDY59,210.635436521,OUT010
DRI49,1617.41970458,OUT049
FDT28,359.420427302,OUT019
FDQ22,619.746483833,OUT018
FDR60,1172.27063843,OUT049
FDC50,253.974891397,OUT019
FDV24,2031.33978434,OUT013
DRF48,446.921112734,OUT010
FDQ47,660.292889747,OUT046
DRN36,1617.41970458,OUT049
NCY06,2304.12541837,OUT035
FDE52,3226.04214678,OUT035
NCB54,1976.06264863,OUT045
NCF31,2031.33978434,OUT035
FDJ08,4093.26079982,OUT027
NCC07,1626.80167484,OUT017
NCD19,1095.48628079,OUT027
FDL46,1224.70539975,OUT049
FDM20,4200.17247546,OUT045
NCI06,542.920191887,OUT010
DRM11,4337.58613892,OUT035
NCH07,2603.47858379,OUT018
FDS23,1986.48458083,OUT013
FDO49,783.972144371,OUT018
